Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Keystone 3034,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer 12.2Mm,
"C1, C3, C5, C7, C9",0402,5,0402 0.1uF,
"C10, C2, C4, C6, C8",0402,5,0402 1uF,
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D146, D147, D148, D149, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D17, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D18, D180, D182, D183, D184, D185, D186, D187, D188, D189, D19, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D2, D20, D200, D201, D202, D203, D204, D205, D206, D207, D208, D209, D21, D210, D211, D212, D213, D214, D215, D216, D218, D219, D22, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D23, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D24, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D25, D250, D251, D252, D254, D255, D256, D257, D258, D259, D26, D260, D261, D262, D263, D264, D265, D266, D267, D268, D269, D27, D270, D271, D272, D273, D274, D275, D276, D277, D278, D279, D28, D280, D281, D282, D283, D284, D285, D286, D287, D288, D29, D3, D30, D31, D32, D33, D34, D35, D36, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99, DI1, DI2, DI3, DI4, DI5, DI6, DI7, DI8",0402,288,LED,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
"IC1, IC2, IC3, IC4",QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,4,IS31FL3730-QFLS2-TR,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
Q1,SOT-23,1,2SC1815,
"R1, R10, R11, R12, R2, R5, R6, R7, R8, R9",0402,10,0402 10K,
"R3, R4",0805,2,0805 1K,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Push_SPST_NO_Alps_SKRK,6,SW_SPST,
U1,RPi_Pico_SMD_TH,1,Raspberry Pi Pico,
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
