Designator,Mid X,Mid Y,Rotation,Layer
BT1,161.75,-103.75,90.0,top
BZ1,146.8883,-97.5,180.0,top
C1,93.42,-87.325,180.0,top
C10,152.2,-117.895,90.0,top
C2,93.42,-88.3,180.0,top
C3,115.42,-87.225,180.0,top
C4,115.42,-88.3,180.0,top
C5,137.42,-87.3,180.0,top
C6,137.42,-88.3,180.0,top
C7,159.42,-87.325,180.0,top
C8,159.42,-88.3,180.0,top
C9,151.2,-117.895,90.0,top
D10,89.87,-66.8329,45.0,top
D100,137.61,-76.9929,45.0,top
D101,137.61,-79.5329,45.0,top
D102,139.78,-64.2929,45.0,top
D103,139.78,-66.8329,45.0,top
D104,139.78,-69.3729,45.0,top
D105,139.78,-71.9129,45.0,top
D106,139.78,-74.4529,45.0,top
D107,139.78,-76.9929,45.0,top
D108,139.78,-79.5329,45.0,top
D11,89.87,-69.3729,45.0,top
D110,152.8,-64.2929,45.0,top
D111,152.8,-66.8329,45.0,top
D112,152.8,-69.3729,45.0,top
D113,152.8,-71.9129,45.0,top
D114,152.8,-74.4529,45.0,top
D115,152.8,-76.9929,45.0,top
D116,152.8,-79.5329,45.0,top
D117,154.97,-64.2929,45.0,top
D118,154.97,-66.8329,45.0,top
D119,154.97,-69.3729,45.0,top
D12,89.87,-71.9129,45.0,top
D120,154.97,-71.9129,45.0,top
D121,154.97,-74.4529,45.0,top
D122,154.97,-76.9929,45.0,top
D123,154.97,-79.5329,45.0,top
D124,157.14,-64.2929,45.0,top
D125,157.14,-66.8329,45.0,top
D126,157.14,-69.3729,45.0,top
D127,157.14,-71.9129,45.0,top
D128,157.14,-74.4529,45.0,top
D129,157.14,-76.9929,45.0,top
D13,89.87,-74.4529,45.0,top
D130,157.14,-79.5329,45.0,top
D131,159.31,-64.2929,45.0,top
D132,159.31,-66.8329,45.0,top
D133,159.31,-69.3729,45.0,top
D134,159.31,-71.9129,45.0,top
D135,159.31,-74.4529,45.0,top
D136,159.31,-76.9929,45.0,top
D137,159.31,-79.5329,45.0,top
D138,161.48,-64.2929,45.0,top
D139,161.48,-66.8329,45.0,top
D14,89.87,-76.9929,45.0,top
D140,161.48,-69.3729,45.0,top
D141,161.48,-71.9129,45.0,top
D142,161.48,-74.4529,45.0,top
D143,161.48,-76.9929,45.0,top
D144,161.48,-79.5329,45.0,top
D146,98.55,-64.2929,45.0,top
D147,98.55,-66.8329,45.0,top
D148,98.55,-69.3729,45.0,top
D149,98.55,-71.9129,45.0,top
D15,89.87,-79.5329,45.0,top
D150,98.55,-74.4529,45.0,top
D151,98.55,-76.9929,45.0,top
D152,98.55,-79.5329,45.0,top
D153,100.72,-64.2929,45.0,top
D154,100.72,-66.8329,45.0,top
D155,100.72,-69.3729,45.0,top
D156,100.72,-71.9129,45.0,top
D157,100.72,-74.4529,45.0,top
D158,100.72,-76.9929,45.0,top
D159,100.72,-79.5329,45.0,top
D16,92.04,-64.2929,45.0,top
D160,102.89,-64.2929,45.0,top
D161,102.89,-66.8329,45.0,top
D162,102.89,-69.3729,45.0,top
D163,102.89,-71.9129,45.0,top
D164,102.89,-74.4529,45.0,top
D165,102.89,-76.9929,45.0,top
D166,102.89,-79.5329,45.0,top
D167,105.06,-64.2929,45.0,top
D168,105.06,-66.8329,45.0,top
D169,105.06,-69.3729,45.0,top
D17,92.04,-66.8329,45.0,top
D170,105.06,-71.9129,45.0,top
D171,105.06,-74.4529,45.0,top
D172,105.06,-76.9929,45.0,top
D173,105.06,-79.5329,45.0,top
D174,107.23,-64.2929,45.0,top
D175,107.23,-66.8329,45.0,top
D176,107.23,-69.3729,45.0,top
D177,107.23,-71.9129,45.0,top
D178,107.23,-74.4529,45.0,top
D179,107.23,-76.9929,45.0,top
D18,92.04,-69.3729,45.0,top
D180,107.23,-79.5329,45.0,top
D182,120.25,-64.2929,45.0,top
D183,120.25,-66.8329,45.0,top
D184,120.25,-69.3729,45.0,top
D185,120.25,-71.9129,45.0,top
D186,120.25,-74.4529,45.0,top
D187,120.25,-76.9929,45.0,top
D188,120.25,-79.5329,45.0,top
D189,122.42,-64.2929,45.0,top
D19,92.04,-71.9129,45.0,top
D190,122.42,-66.8329,45.0,top
D191,122.42,-69.3729,45.0,top
D192,122.42,-71.9129,45.0,top
D193,122.42,-74.4529,45.0,top
D194,122.42,-76.9929,45.0,top
D195,122.42,-79.5329,45.0,top
D196,124.59,-64.2929,45.0,top
D197,124.59,-66.8329,45.0,top
D198,124.59,-69.3729,45.0,top
D199,124.59,-71.9129,45.0,top
D2,87.7,-64.2929,45.0,top
D20,92.04,-74.4529,45.0,top
D200,124.59,-74.4529,45.0,top
D201,124.59,-76.9929,45.0,top
D202,124.59,-79.5329,45.0,top
D203,126.76,-64.2929,45.0,top
D204,126.76,-66.8329,45.0,top
D205,126.76,-69.3729,45.0,top
D206,126.76,-71.9129,45.0,top
D207,126.76,-74.4529,45.0,top
D208,126.76,-76.9929,45.0,top
D209,126.76,-79.5329,45.0,top
D21,92.04,-76.9929,45.0,top
D210,128.93,-64.2929,45.0,top
D211,128.93,-66.8329,45.0,top
D212,128.93,-69.3729,45.0,top
D213,128.93,-71.9129,45.0,top
D214,128.93,-74.4529,45.0,top
D215,128.93,-76.9929,45.0,top
D216,128.93,-79.5329,45.0,top
D218,141.95,-64.2929,45.0,top
D219,141.95,-66.8329,45.0,top
D22,92.04,-79.5329,45.0,top
D220,141.95,-69.3729,45.0,top
D221,141.95,-71.9129,45.0,top
D222,141.95,-74.4529,45.0,top
D223,141.95,-76.9929,45.0,top
D224,141.95,-79.5329,45.0,top
D225,144.12,-64.2929,45.0,top
D226,144.12,-66.8329,45.0,top
D227,144.12,-69.3729,45.0,top
D228,144.12,-71.9129,45.0,top
D229,144.12,-74.4529,45.0,top
D23,94.21,-64.2929,45.0,top
D230,144.12,-76.9929,45.0,top
D231,144.12,-79.5329,45.0,top
D232,146.29,-64.2929,45.0,top
D233,146.29,-66.8329,45.0,top
D234,146.29,-69.3729,45.0,top
D235,146.29,-71.9129,45.0,top
D236,146.29,-74.4529,45.0,top
D237,146.29,-76.9929,45.0,top
D238,146.29,-79.5329,45.0,top
D239,148.46,-64.2929,45.0,top
D24,94.21,-66.8329,45.0,top
D240,148.46,-66.8329,45.0,top
D241,148.46,-69.3729,45.0,top
D242,148.46,-71.9129,45.0,top
D243,148.46,-74.4529,45.0,top
D244,148.46,-76.9929,45.0,top
D245,148.46,-79.5329,45.0,top
D246,150.63,-64.2929,45.0,top
D247,150.63,-66.8329,45.0,top
D248,150.63,-69.3729,45.0,top
D249,150.63,-71.9129,45.0,top
D25,94.21,-69.3729,45.0,top
D250,150.63,-74.4529,45.0,top
D251,150.63,-76.9929,45.0,top
D252,150.63,-79.5329,45.0,top
D254,163.65,-64.2929,45.0,top
D255,163.65,-66.8329,45.0,top
D256,163.65,-69.3729,45.0,top
D257,163.65,-71.9129,45.0,top
D258,163.65,-74.4529,45.0,top
D259,163.65,-76.9929,45.0,top
D26,94.21,-71.9129,45.0,top
D260,163.65,-79.5329,45.0,top
D261,165.82,-64.2929,45.0,top
D262,165.82,-66.8329,45.0,top
D263,165.82,-69.3729,45.0,top
D264,165.82,-71.9129,45.0,top
D265,165.82,-74.4529,45.0,top
D266,165.82,-76.9929,45.0,top
D267,165.82,-79.5329,45.0,top
D268,167.99,-64.2929,45.0,top
D269,167.99,-66.8329,45.0,top
D27,94.21,-74.4529,45.0,top
D270,167.99,-69.3729,45.0,top
D271,167.99,-71.9129,45.0,top
D272,167.99,-74.4529,45.0,top
D273,167.99,-76.9929,45.0,top
D274,167.99,-79.5329,45.0,top
D275,170.16,-64.2929,45.0,top
D276,170.16,-66.8329,45.0,top
D277,170.16,-69.3729,45.0,top
D278,170.16,-71.9129,45.0,top
D279,170.16,-74.4529,45.0,top
D28,94.21,-76.9929,45.0,top
D280,170.16,-76.9929,45.0,top
D281,170.16,-79.5329,45.0,top
D282,172.33,-64.2929,45.0,top
D283,172.33,-66.8329,45.0,top
D284,172.33,-69.3729,45.0,top
D285,172.33,-71.9129,45.0,top
D286,172.33,-74.4529,45.0,top
D287,172.33,-76.9929,45.0,top
D288,172.33,-79.5329,45.0,top
D29,94.21,-79.5329,45.0,top
D3,87.7,-66.8329,45.0,top
D30,96.38,-64.2929,45.0,top
D31,96.38,-66.8329,45.0,top
D32,96.38,-69.3729,45.0,top
D33,96.38,-71.9129,45.0,top
D34,96.38,-74.4529,45.0,top
D35,96.38,-76.9929,45.0,top
D36,96.38,-79.5329,45.0,top
D38,109.4,-64.2929,45.0,top
D39,109.4,-66.8329,45.0,top
D4,87.7,-69.3729,45.0,top
D40,109.4,-69.3729,45.0,top
D41,109.4,-71.9129,45.0,top
D42,109.4,-74.4529,45.0,top
D43,109.4,-76.9929,45.0,top
