Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Keystone 3034,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer 12.2Mm,
"C1, C3, C33, C5, C7, C9",0402,6,0402 0.1uF,
"C10, C2, C4, C6, C8",0402,5,0402 1uF,
"C11, C12, C13, C14",0402,4,0402 10uF,
"C16, C17",0402,2,22pf 0402, 
"C18, C21, C22, C24, C26, C27, C28, C29, C30, C31",0402,10,100nf 0402, 
"C19, C20, CBP1",0402,3,10uf 0402, 
C23,0402,1,1uf 0402, 
C25,0402,1,2.2uF 0402, 
D1,D_SOD-123,1,1N4002W, 
F1,0805,1,0805L050WR,
FB1,0402,1,FerriteBead 0402,
FLASH1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,W25Q16JVUXIQ,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,M2,
"IC1, IC2, IC3, IC4",QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,4,IS31FL3730-QFLS2-TR,
J1,PinHeader_1x03_P1.00mm_Vertical,1,1mm 1x3,
J3,SW_Push_SPST_NO_Alps_SKRK,1,Button, 
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,bridge,
"JP2, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,bridge,
"M1, M2, M3, M4, M5, M6, M7, M8",DIP-14_W7.62mm_Socket,8,Dip-14 Socket,
Q1,SOT-23,1,2SC1815,
"R1, R10, R11, R12, R13, R2, R28, R5, R6, R7, R8, R9",0402,12,0402 10K,
"R15, R16",0402,2,5.1K 0402, 
"R18, R23",0402,2,1K 0402, 
R21,0402,1,10K 0402,  
R22,0402,1,100K 0402, 
"R24, R25",0402,2,27r 0402 resistor, 
"R3, R4",0805,2,0805 1K,
RSW1,SW_Push_SPST_NO_Alps_SKRK,1,TSA343G00-250J2,
"SW1, SW2, SW3, SW4, SW5",SW_Cherry_MX_1.00u_PCB,5,MX Keyboard Switch,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint, 
U1,DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,1,Si7021-A20,
U2,SOT-23-5,1,TLV75733PDBVR, 
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U4,RP2040-QFN-56,1,RP2040, C2040
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225_4P 12MHz, 
