Designator,Mid X,Mid Y,Rotation,Layer
BT1,24.0,-58.5,270.0,top
BZ1,89.099984,-57.0,0.0,top
C1,79.325,-44.35,0.0,top
C10,42.81,-66.39,0.0,top
C11,41.05,-44.375,0.0,top
C12,60.25,-44.36,0.0,top
C13,79.2433,-46.36,0.0,top
C14,98.405,-46.37,0.0,top
C16,54.32,-55.975,0.0,top
C17,54.2,-61.25,0.0,top
C18,72.875,-55.445,90.0,top
C19,76.3,-64.07,90.0,top
C2,79.2433,-45.36,0.0,top
C20,71.125,-65.03,270.0,top
C21,58.575,-60.52,270.0,top
C22,70.45,-58.0,45.0,top
C23,70.075,-60.575,0.0,top
C24,69.575,-62.525,0.0,top
C25,69.58,-61.575,0.0,top
C26,67.4,-64.08,270.0,top
C27,71.675,-58.225,45.0,top
C28,57.6,-60.525,270.0,top
C29,63.5,-64.63,270.0,top
C3,60.0817,-45.36,0.0,top
C30,64.325,-51.7,45.0,top
C31,68.2,-53.8,90.0,top
C33,68.93,-39.125,180.0,top
C4,60.0817,-46.36,0.0,top
C5,40.905,-46.38,0.0,top
C6,40.905,-45.38,0.0,top
C7,98.625,-44.37,0.0,top
C8,98.405,-45.37,0.0,top
C9,42.81,-65.42,0.0,top
CBP1,73.08,-61.38,0.0,top
D1,84.15,-64.15,0.0,top
F1,80.0075,-64.16,0.0,top
FB1,77.3,-64.07,270.0,top
FLASH1,71.075,-54.6375,270.0,top
IC1,39.68,-41.25,90.0,top
IC2,58.8517,-41.25,90.0,top
IC3,78.0133,-41.25,90.0,top
IC4,97.175,-41.25,90.0,top
J1,52.975,-54.225,90.0,top
J3,76.025,-53.35,270.0,top
M1,28.18,-24.625,0.0,top
M2,39.68,-24.625,0.0,top
M3,51.18,-24.625,0.0,top
M4,62.68,-24.625,0.0,top
M5,74.18,-24.625,0.0,top
M6,85.68,-24.625,0.0,top
M7,97.18,-24.625,0.0,top
M8,108.76,-24.625,0.0,top
Q1,98.6208,-57.0,0.0,top
R1,41.06,-52.07,270.0,top
R10,35.875,-61.0667,0.0,top
R11,35.875,-59.0333,0.0,top
R12,35.875,-60.05,0.0,top
R13,35.875,-58.0167,0.0,top
R15,110.05,-54.75,0.0,top
R16,110.05,-51.75,0.0,top
R18,72.425,-51.25,0.0,top
R2,42.33,-52.08,270.0,top
R21,72.425,-52.275,180.0,top
R22,76.78,-62.65,0.0,top
R23,56.11,-61.25,180.0,top
R24,73.76,-59.175,180.0,top
R25,73.76,-60.19,180.0,top
R28,35.875,-57.0,0.0,top
R3,98.875,-54.275,0.0,top
R4,98.85,-59.7,180.0,top
R5,35.875,-52.9333,0.0,top
R6,35.875,-53.95,0.0,top
R7,35.875,-54.9667,0.0,top
R8,35.875,-55.9833,0.0,top
R9,35.875,-62.0833,0.0,top
RSW1,53.725,-63.475,0.0,top
SW1,28.5,-83.5,0.0,top
SW2,48.5,-83.5,0.0,top
SW3,68.5,-83.5,0.0,top
SW4,88.5,-83.5,0.0,top
SW5,108.5,-83.5,0.0,top
U1,68.45,-41.75,0.0,top
U2,73.725,-63.6,0.0,top
U3,45.5,-59.0,0.0,top
U4,64.5,-59.0,270.0,top
USB1,119.0,-53.5,90.0,top
Y1,55.1,-58.6,270.0,top
