Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Keystone 3034,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer 12.2Mm,
"C1, C3, C5, C7, C9",0402,5,0402 0.1uF,
"C10, C2, C4, C6, C8",0402,5,0402 1uF,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
"IC1, IC2, IC3, IC4",QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,4,IS31FL3730-QFLS2-TR,
"M1, M2, M3, M4, M5, M6, M7, M8",DIP-14_W7.62mm_Socket,8,Dip-14 Socket,
Q1,SOT-23,1,2SC1815,
"R1, R10, R11, R12, R2, R5, R6, R7, R8, R9",0402,10,0402 10K,
"R3, R4",0805,2,0805 1K,
"SW1, SW2, SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,4,SKRK,
U1,RPi_Pico_SMD_TH,1,Raspberry Pi Pico,
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
