Designator,Mid X,Mid Y,Rotation,Layer
BT1,161.75,-103.75,90.0,top
BZ1,147.0001,-94.9999,180.0,top
C1,91.925,-91.45,270.0,top
C10,152.2,-117.895,90.0,top
C2,92.9,-91.45,270.0,top
C3,103.725,-91.4,270.0,top
C4,104.8,-91.4,270.0,top
C5,116.0,-91.35,270.0,top
C6,117.0,-91.35,270.0,top
C7,128.3,-90.9,270.0,top
C8,129.275,-90.9,270.0,top
C9,151.2,-117.895,90.0,top
IC1,92.25,-87.25,90.0,top
IC2,104.5,-87.25,90.0,top
IC3,116.75,-87.25,90.0,top
IC4,129.0,-87.25,90.0,top
M1,88.58,-65.225,0.0,top
M2,99.33,-65.225,0.0,top
M3,110.08,-65.225,0.0,top
M4,120.83,-65.225,0.0,top
M5,131.58,-65.225,0.0,top
M6,142.33,-65.225,0.0,top
M7,153.08,-65.225,0.0,top
M8,163.83,-65.225,0.0,top
Q1,144.5363,-103.7628,90.0,top
R1,136.2375,-120.6,0.0,top
R10,90.2,-91.0,90.0,top
R11,100.3,-90.49,90.0,top
R12,101.4,-90.49,90.0,top
R2,136.2,-119.5,0.0,top
R3,147.2737,-103.4753,270.0,top
R4,141.7737,-103.4628,90.0,top
R5,124.1,-90.4,90.0,top
R6,125.2,-90.4,90.0,top
R7,112.2,-90.5,90.0,top
R8,113.3,-90.5,90.0,top
R9,89.1,-91.0,90.0,top
SW1,92.71,-119.566,270.0,top
SW2,97.16,-119.566,270.0,top
SW3,101.61,-119.566,270.0,top
SW4,106.06,-119.566,270.0,top
U1,110.5124,-104.521,90.0,top
U3,144.6804,-115.189,180.0,top
