Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,Battery_Cell,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"C1, C3, C5, C7, C9",0402,5,0402 0.1uF,
"C10, C2, C4, C6, C8",0402,5,0402 1uF,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
"IC1, IC2, IC3, IC4",QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,4,IS31FL3730-QFLS2-TR,
J2,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,GT-USB-7051A,
"M1, M2, M3, M4, M5, M6, M7, M8",DIP-14_W7.62mm_Socket,8,LTP-305G,
Q1,SOT-23,1,2SC1815,
"R1, R2",0805,2,0805 2.2K,
"R3, R4",0805,2,0805 1K,
"R5, R6",0805,2,0805 5.1K,
"SW1, SW2, SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,4,SW_Push,
SW5,SW_DIP_SPSTx01_Slide_Copal_CHS-01A_W5.08mm_P1.27mm_JPin,1,DIP SPST,
U1,RPi_Pico_SMD_TH,1,Pico,
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
