Designator,Mid X,Mid Y,Rotation,Layer
BT1,166.25,-99.75,225.0,top
BZ1,144.3736,-112.0629,0.0,top
C1,91.925,-91.45,270.0,top
C10,168.2,-117.895,90.0,top
C2,92.9,-91.45,270.0,top
C3,103.725,-91.4,270.0,top
C4,104.8,-91.4,270.0,top
C5,116.0,-91.35,270.0,top
C6,117.0,-91.35,270.0,top
C7,128.3,-90.9,270.0,top
C8,129.275,-90.9,270.0,top
C9,167.2,-117.895,90.0,top
IC1,92.25,-87.25,90.0,top
IC2,104.5,-87.25,90.0,top
IC3,116.75,-87.25,90.0,top
IC4,129.0,-87.25,90.0,top
J2,106.93,-104.52,270.0,bottom
M1,88.58,-65.225,0.0,top
M2,99.33,-65.225,0.0,top
M3,110.08,-65.225,0.0,top
M4,120.83,-65.225,0.0,top
M5,131.58,-65.225,0.0,top
M6,142.33,-65.225,0.0,top
M7,153.08,-65.225,0.0,top
M8,163.83,-65.225,0.0,top
Q1,146.8374,-103.3,270.0,top
R1,152.2375,-119.35,0.0,top
R2,152.2375,-121.35,0.0,top
R3,144.1,-103.5875,90.0,top
R4,149.6,-103.6,270.0,top
R5,138.5,-111.6,0.0,top
R6,138.5,-109.6,0.0,top
SW1,92.71,-119.566,270.0,top
SW2,97.16,-119.566,270.0,top
SW3,101.61,-119.566,270.0,top
SW4,106.06,-119.566,270.0,top
SW5,112.04,-119.6,0.0,top
U1,110.5124,-104.521,90.0,top
U3,160.6804,-115.189,180.0,top
